,close,predictions,to change,buy & hold result,algo result from "yesterday"
4799,1103.66,0,-0.000761104,1126.264121,1184.190677
4800,1102.82,1,-0.008995122,1125.406917,1184.190677
4801,1092.9,0,-0.000731997,1115.283745,1173.538737
4802,1092.1,0,0.007114733,1114.46736,1173.538737
4803,1099.87,1,-0.000463691,1122.396498,1173.538737
4804,1099.36,1,-0.006767574,1121.876052,1172.994578
4805,1091.92,0,-0.00141036,1114.283673,1165.05625
4806,1090.38,1,-0.005887856,1112.712132,1165.05625
4807,1083.96,1,0.009566774,1106.160644,1158.196568
4808,1094.33,0,-0.002686575,1116.743033,1169.276772
4809,1091.39,0,-0.003225245,1113.742818,1169.276772
4810,1087.87,0,0.002362415,1110.150725,1169.276772
4811,1090.44,0,-0.000183412,1112.773361,1169.276772
4812,1090.24,0,-0.000348547,1112.569265,1169.276772
4813,1089.86,0,0.007055952,1112.181482,1169.276772
4814,1097.55,0,-0.000510227,1120.028982,1169.276772
4815,1096.99,0,0,1119.457512,1169.276772
4816,1096.99,1,0.001841402,1119.457512,1169.276772
4817,1099.01,0,1.81982E-05,1121.518884,1171.429881
4818,1099.03,0,1.81979E-05,1121.539294,1171.429881
4819,1099.05,0,0.000864383,1121.559703,1171.429881
4820,1100,0,0,1122.52916,1171.429881
4821,1100,0,0.001,1122.52916,1171.429881
4822,1101.1,0,0.000681137,1123.651689,1171.429881
4823,1101.85,0,0.003385216,1124.41705,1171.429881
4824,1105.58,1,0.002813003,1128.223445,1171.429881
4825,1108.69,0,-0.00025255,1131.397141,1174.725117
4826,1108.41,0,9.02193E-06,1131.111406,1174.725117
4827,1108.42,0,8.11967E-05,1131.121611,1174.725117
4828,1108.51,0,7.21689E-05,1131.213454,1174.725117
4829,1108.59,1,9.02047E-06,1131.295093,1174.725117
4830,1108.6,0,0.001136569,1131.305297,1174.735713
4831,1109.86,0,0,1132.591103,1174.735713
4832,1109.86,0,0.00249581,1132.591103,1174.735713
4833,1112.63,1,0.00306481,1135.417836,1174.735713
4834,1116.04,1,0.000896025,1138.897676,1178.336056
4835,1117.04,1,0.000411803,1139.918157,1179.391875
4836,1117.5,1,0.002237136,1140.387579,1179.877551
4837,1120,1,0.000303571,1142.938781,1182.517098
4838,1120.34,1,0.002472464,1143.285745,1182.876077
4839,1123.11,1,0.001682827,1146.112477,1185.800695
4840,1125,1,-8.88889E-06,1148.041187,1187.796192
4841,1124.99,0,0,1148.030982,1187.785634
4842,1124.99,0,8.88897E-06,1148.030982,1187.785634
4843,1125,0,0,1148.041187,1187.785634
4844,1125,0,0,1148.041187,1187.785634
4845,1125,0,-8.88889E-06,1148.041187,1187.785634
4846,1124.99,0,8.88897E-06,1148.030982,1187.785634
4847,1125,0,-0.004133333,1148.041187,1187.785634
4848,1120.35,1,0.000624805,1143.29595,1187.785634
4849,1121.05,1,0.003113153,1144.010286,1188.527768
4850,1124.54,0,5.33551E-05,1147.571765,1192.227837
4851,1124.6,0,-0.003805798,1147.632994,1192.227837
4852,1120.32,1,0.001499572,1143.265335,1192.227837
4853,1122,0,0,1144.979743,1194.015668
4854,1122,1,-0.00043672,1144.979743,1194.015668
4855,1121.51,1,0,1144.479708,1193.494217
4856,1121.51,0,0.000249663,1144.479708,1193.494217
4857,1121.79,1,0.000178286,1144.765442,1193.494217
4858,1121.99,1,8.91274E-06,1144.969539,1193.707001
4859,1122,0,-8.91266E-06,1144.979743,1193.71764
4860,1121.99,0,8.91274E-06,1144.969539,1193.71764
4861,1122,0,0,1144.979743,1193.71764
4862,1122,0,0,1144.979743,1193.71764
4863,1122,0,0.001916221,1144.979743,1193.71764
4864,1124.15,1,0.000400302,1147.173778,1193.71764
4865,1124.6,0,8.89205E-06,1147.632994,1194.195488
