date,open,high,low,close,volume,change
3/25/2016,414.7,417.3,412.4,415.7,34590,-0.002405581
3/24/2016,417,417.7,412.9,414.7,38830,0.005546178
3/23/2016,416.2,419.6,414.2,417,40610,-0.001918465
3/22/2016,411.1,417.9,410.8,416.2,49080,-0.012253724
3/21/2016,411.5,413.1,407.3,411.1,43160,0.000972999
3/20/2016,408.7,413.5,407.2,411.5,30540,-0.006804374
3/19/2016,408.2,410.5,402.1,408.7,37000,-0.001223391
3/18/2016,418.2,418.6,402.5,408.2,66070,0.024497795
3/17/2016,415.9,419.6,415.3,418.2,43820,-0.005499761
3/16/2016,415.1,417,413.3,415.9,44540,-0.001923539
3/15/2016,414.3,417.4,412.3,415.1,48600,-0.001927246
3/14/2016,412.4,416.1,411.2,414.3,49330,-0.004586049
3/13/2016,410.4,415.9,409.6,412.4,34980,-0.004849661
3/12/2016,419.1,420.7,407,410.4,59640,0.02119883
3/11/2016,415.8,422.4,415.1,419.1,60630,-0.007874016
3/10/2016,412.8,417.5,410.3,415.8,55740,-0.007215007
3/9/2016,411.9,414.9,408.9,412.8,50920,-0.002180233
3/8/2016,414.9,416.7,408.4,411.9,53770,0.007283321
3/7/2016,406,416.6,402,414.9,61770,-0.021450952
3/6/2016,399,412,393.1,406,62590,-0.017241379
3/5/2016,409.5,410.1,386.9,399,129150,0.026315789
3/4/2016,419.6,423.4,407.2,409.5,75270,0.024664225
3/3/2016,425.4,425.8,414.9,419.6,78900,0.013822688
3/2/2016,434,435.9,423.9,425.4,57750,0.020216267
3/1/2016,436.2,439,428.5,434,67460,0.005069124
2/29/2016,432.5,441.3,429.8,436.2,68770,-0.008482348
2/28/2016,431.3,435.6,421.2,432.5,50850,-0.002774566
2/27/2016,427.3,434.1,427.3,431.3,42790,-0.009274287
2/26/2016,423.5,427.6,419.1,427.3,53210,-0.008893049
2/25/2016,422.7,427.2,417.5,423.5,53540,-0.00188902
2/24/2016,419.9,425.2,410.4,422.7,66510,-0.006624083
2/23/2016,437.8,440.8,414.4,419.9,93720,0.042629197
2/22/2016,437.9,440.2,431.3,437.8,56010,0.000228415
2/21/2016,440.1,447.6,425.5,437.9,100500,0.005023978
2/20/2016,420,442.7,419.5,440.1,111630,-0.045671438
2/19/2016,421.4,424.3,416.4,420,52240,0.003333333
2/18/2016,417.1,425.5,414.8,421.4,77350,-0.010204082
2/17/2016,406.4,421.5,405,417.1,90320,-0.025653321
2/16/2016,401.1,409.8,398,406.4,68330,-0.013041339
2/15/2016,405.5,410.9,396.6,401.1,86130,0.010969833
2/14/2016,390.1,405.9,390.1,405.5,73590,-0.037977805
2/13/2016,384,392.6,383.3,390.1,48160,-0.015637016
2/12/2016,379.5,386.4,379.3,384,53760,-0.01171875
2/11/2016,381.9,383.2,372.8,379.5,62650,0.006324111
2/10/2016,375.3,385.4,374.1,381.9,97490,-0.017282011
2/9/2016,372.6,377.6,371.4,375.3,55360,-0.007194245
2/8/2016,377.9,380.9,372.1,372.6,62240,0.014224369
2/7/2016,376.7,382.6,375.3,377.9,40740,-0.003175443
2/6/2016,386.5,386.4,372.9,376.7,78850,0.026015397
2/5/2016,390.6,391.1,384.5,386.5,60920,0.010608021
2/4/2016,368,391.8,368,390.6,101870,-0.057859703
2/3/2016,373.9,375.9,366.2,368,59810,0.016032609
2/2/2016,372.2,376.6,371.4,373.9,50980,-0.00454667
2/1/2016,369.8,379.8,365.3,372.2,74350,-0.006448146
1/31/2016,377.8,380.5,366.9,369.8,39020,0.021633315
1/30/2016,380.3,381.8,375,377.8,36180,0.006617258
1/29/2016,379.7,385.8,363.5,380.3,138460,-0.001577702
1/28/2016,395,395.4,376.7,379.7,77320,0.04029497
1/27/2016,389.8,397.4,389.4,395,43680,-0.013164557
1/26/2016,392.8,397.7,387.9,389.8,56810,0.007696254
1/25/2016,402.1,403.8,386.9,392.8,67660,0.023676171
1/24/2016,388.6,405.4,385.5,402.1,64540,-0.033573738
1/23/2016,382.6,395.4,380.3,388.6,61380,-0.015440041
1/22/2016,410.2,411.5,374.9,382.6,144860,0.072138003
1/21/2016,414.6,423.4,403.9,410.2,89940,0.010726475
1/20/2016,379.5,425.7,374,414.6,190320,-0.084659913
1/19/2016,384.4,386.7,375.9,379.5,66350,0.012911726
1/18/2016,382.5,387.3,373.2,384.4,69300,-0.004942768
1/17/2016,385,390.7,377.7,382.5,66090,0.006535948
1/16/2016,372.3,386.7,350.4,385,183960,-0.032987013
1/15/2016,429.1,430.1,364.7,372.3,268140,0.152565136
1/14/2016,432.2,433.7,427,429.1,46170,0.007224423
1/13/2016,445,443.7,420.4,432.2,92040,0.029615919
1/12/2016,447.7,448.4,443.1,445,44590,0.006067416
1/11/2016,446.2,451.1,441.8,447.7,56590,-0.003350458
1/10/2016,448.3,448.9,438.6,446.2,44460,0.00470641
1/9/2016,452.9,454.5,444.9,448.3,39810,0.010260986
1/8/2016,457,462.9,446.5,452.9,91310,0.009052771
1/7/2016,430.8,457.5,428.5,457,130200,-0.057330416
1/6/2016,431.2,432.1,425,430.8,43430,0.000928505
1/5/2016,433.3,435.3,428.9,431.2,45030,0.00487013
